(0,6,K)
(0,8,K)
(0,9,K)
(0,10,K)
(0,12,K)
(1,1,K)
(1,6,K)
(1,13,K)
(1,14,K)
(1,15,K)
(1,24,K)
(2,0,K)
(2,2,K)
(2,3,K)
(2,4,K)
(2,5,K)
(2,8,K)
(2,9,K)
(2,12,K)
(2,17,K)
(2,19,K)
(2,20,K)
(2,23,K)
(2,24,K)
(3,11,K)
(3,15,K)
(3,18,K)
(3,19,K)
(3,22,K)
(3,23,K)
(4,1,K)
(4,2,K)
(4,15,K)
(4,16,K)
(4,18,K)
(4,21,K)
(5,3,K)
(5,6,K)
(5,8,K)
(5,12,K)
(5,13,K)
(5,14,K)
(5,20,K)
(5,23,K)
(6,0,K)
(6,2,K)
(6,11,K)
(6,13,K)
(6,14,K)
(6,15,K)
(6,17,K)
(6,22,K)
(6,24,K)
(7,1,K)
(7,6,K)
(7,8,K)
(7,17,K)
(7,22,K)
(7,24,K)
(8,5,K)
(8,6,K)
(8,8,K)
(8,12,K)
(8,13,K)
(8,14,K)
(8,16,K)
(8,17,K)
(8,19,K)
(8,20,K)
(8,21,K)
(8,23,K)
(9,10,K)
(9,11,K)
(9,12,K)
(9,13,K)
(9,16,K)
(9,17,K)
(10,0,K)
(10,6,K)
(10,11,K)
(10,13,K)
(10,20,K)
(10,21,K)
(10,23,K)
(11,5,K)
(11,14,K)
(11,16,K)
(11,19,K)
(11,24,K)
(12,6,K)
(12,10,K)
(12,20,K)
(12,21,K)
(12,23,K)
(12,24,K)
(13,0,K)
(13,5,K)
(13,6,K)
(13,9,K)
(13,13,K)
(13,17,K)
(13,20,K)
(13,21,K)
(14,4,K)
(14,5,K)
(14,7,K)
(14,14,K)
(14,18,K)
(14,19,K)
(15,0,K)
(15,5,K)
(15,6,K)
(15,7,K)
(15,13,K)
(15,17,K)
(15,24,K)
(16,5,K)
(16,7,K)
(16,8,K)
(16,9,K)
(16,11,K)
(16,20,K)
(16,24,K)
(17,8,K)
(17,10,K)
(17,11,K)
(17,14,K)
(17,15,K)
(17,17,K)
(17,19,K)
(17,21,K)
(18,1,K)
(18,2,K)
(18,3,K)
(18,6,K)
(18,8,K)
(18,15,K)
(18,19,K)
(18,20,K)
(18,22,K)
(18,23,K)
(19,0,K)
(19,1,K)
(19,3,K)
(19,4,K)
(19,8,K)
(19,10,K)
(19,12,K)
(19,14,K)
(19,15,K)
(19,16,K)
(19,17,K)
(19,20,K)
(19,23,K)
(20,0,K)
(20,7,K)
(20,11,K)
(20,12,K)
(20,15,K)
(20,20,K)
(21,11,K)
(21,18,K)
(22,5,K)
(22,8,K)
(22,9,K)
(22,11,K)
(22,13,K)
(22,15,K)
(22,17,K)
(22,22,K)
(22,24,K)
(23,4,K)
(23,6,K)
(23,8,K)
(23,11,K)
(23,12,K)
(23,21,K)
(23,22,K)
(24,5,K)
(24,6,K)
(24,12,K)
(24,13,K)
(24,18,K)
(24,21,K)
(24,23,K)
