(0,3,K)
(0,6,K)
(0,7,K)
(0,9,K)
(0,10,K)
(0,16,K)
(0,19,K)
(0,23,K)
(1,1,K)
(1,6,K)
(1,8,K)
(1,9,K)
(1,11,K)
(1,13,K)
(1,22,K)
(2,2,K)
(2,3,K)
(2,5,K)
(2,6,K)
(2,13,K)
(2,17,K)
(2,22,K)
(2,23,K)
(3,2,K)
(3,5,K)
(3,6,K)
(3,8,K)
(3,10,K)
(3,12,K)
(3,13,K)
(3,14,K)
(3,18,K)
(3,19,K)
(4,5,K)
(4,14,K)
(4,15,K)
(4,17,K)
(4,20,K)
(5,2,K)
(5,6,K)
(5,9,K)
(5,13,K)
(5,17,K)
(5,21,K)
(6,0,K)
(6,6,K)
(6,8,K)
(6,15,K)
(6,18,K)
(6,20,K)
(7,0,K)
(7,6,K)
(7,7,K)
(7,10,K)
(7,13,K)
(7,14,K)
(7,16,K)
(7,19,K)
(7,20,K)
(7,21,K)
(7,24,K)
(8,2,K)
(8,8,K)
(8,10,K)
(8,11,K)
(8,12,K)
(8,20,K)
(8,22,K)
(9,2,K)
(9,3,K)
(9,7,K)
(9,8,K)
(9,9,K)
(9,10,K)
(9,11,K)
(9,13,K)
(9,18,K)
(9,20,K)
(9,22,K)
(9,24,K)
(10,0,K)
(10,1,K)
(10,6,K)
(10,7,K)
(10,8,K)
(10,17,K)
(10,21,K)
(10,23,K)
(10,24,K)
(11,2,K)
(11,4,K)
(11,5,K)
(11,16,K)
(11,24,K)
(12,0,K)
(12,4,K)
(12,5,K)
(12,6,K)
(12,12,K)
(12,14,K)
(12,18,K)
(12,22,K)
(13,5,K)
(13,10,K)
(13,17,K)
(13,18,K)
(13,19,K)
(13,22,K)
(14,1,K)
(14,3,K)
(14,5,K)
(14,12,K)
(14,13,K)
(14,18,K)
(14,20,K)
(14,21,K)
(15,0,K)
(15,1,K)
(15,8,K)
(15,12,K)
(15,19,K)
(15,20,K)
(16,1,K)
(16,2,K)
(16,4,K)
(16,8,K)
(16,9,K)
(16,12,K)
(16,14,K)
(16,15,K)
(16,16,K)
(16,21,K)
(17,0,K)
(17,3,K)
(17,5,K)
(17,7,K)
(17,11,K)
(17,17,K)
(17,21,K)
(17,22,K)
(17,23,K)
(18,4,K)
(18,7,K)
(18,11,K)
(18,12,K)
(18,17,K)
(19,6,K)
(19,7,K)
(19,10,K)
(19,12,K)
(19,21,K)
(20,1,K)
(20,2,K)
(20,4,K)
(20,6,K)
(20,7,K)
(20,13,K)
(20,16,K)
(20,20,K)
(20,24,K)
(21,1,K)
(21,3,K)
(21,7,K)
(21,9,K)
(21,18,K)
(21,19,K)
(21,23,K)
(22,5,K)
(22,6,K)
(22,14,K)
(22,22,K)
(23,13,K)
(23,16,K)
(23,17,K)
(23,21,K)
(23,23,K)
(24,5,K)
(24,6,K)
(24,10,K)
(24,14,K)
(24,15,K)
(24,16,K)
(24,19,K)
(24,20,K)
(24,22,K)
